,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Artist,TrackName,t_id,popularity,Target
36,0.0474,https://api.spotify.com/v1/audio-analysis/4gzTPBTjhPJcTTfP52Tjnw,0.747,163388,0.828,4gzTPBTjhPJcTTfP52Tjnw,0.0,2,0.554,-4.591,1,0.268,95.994,4,https://api.spotify.com/v1/tracks/4gzTPBTjhPJcTTfP52Tjnw,audio_features,spotify:track:4gzTPBTjhPJcTTfP52Tjnw,0.543,Blackalicious,Blacka,4gzTPBTjhPJcTTfP52Tjnw,0,0
37,0.00897,https://api.spotify.com/v1/audio-analysis/6lMlMXL2Wk4xT2U1D09iLm,0.646,219040,0.865,6lMlMXL2Wk4xT2U1D09iLm,0.278,11,0.444,-4.204,0,0.0732,123.053,4,https://api.spotify.com/v1/tracks/6lMlMXL2Wk4xT2U1D09iLm,audio_features,spotify:track:6lMlMXL2Wk4xT2U1D09iLm,0.298,Bomba Estéreo,Fiesta,6lMlMXL2Wk4xT2U1D09iLm,46,0
38,0.365,https://api.spotify.com/v1/audio-analysis/2M06vOalzheqgascygGojn,0.245,176053,0.88,2M06vOalzheqgascygGojn,0.741,0,0.19,-5.579,1,0.101,182.995,3,https://api.spotify.com/v1/tracks/2M06vOalzheqgascygGojn,audio_features,spotify:track:2M06vOalzheqgascygGojn,0.518,The Bright Light Social Hour,Slipstream,2M06vOalzheqgascygGojn,30,0
39,0.155,https://api.spotify.com/v1/audio-analysis/5bkbMZ6NzNnXU72tY20LAT,0.624,189413,0.821,5bkbMZ6NzNnXU72tY20LAT,0.0228,11,0.128,-7.276,0,0.171,100.05,4,https://api.spotify.com/v1/tracks/5bkbMZ6NzNnXU72tY20LAT,audio_features,spotify:track:5bkbMZ6NzNnXU72tY20LAT,0.853,Calexico,Cumbia de Donde,5bkbMZ6NzNnXU72tY20LAT,29,0
40,0.0397,https://api.spotify.com/v1/audio-analysis/53l4LGUeZKCDZI1u25kQDN,0.786,302840,0.547,53l4LGUeZKCDZI1u25kQDN,0.272,1,0.0378,-11.416,1,0.262,92.603,4,https://api.spotify.com/v1/tracks/53l4LGUeZKCDZI1u25kQDN,audio_features,spotify:track:53l4LGUeZKCDZI1u25kQDN,0.683,D'Angelo,Sugah Daddy,53l4LGUeZKCDZI1u25kQDN,53,0
41,0.53,https://api.spotify.com/v1/audio-analysis/6fTdcGsjxlAD9PSkoPaLMX,0.511,226014,0.596,6fTdcGsjxlAD9PSkoPaLMX,0.0,0,0.0798,-6.56,1,0.224,158.063,4,https://api.spotify.com/v1/tracks/6fTdcGsjxlAD9PSkoPaLMX,audio_features,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,0.554,Donnie Trumpet & The Social Experiment,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,68,0
42,0.297,https://api.spotify.com/v1/audio-analysis/4l86U8arITFVBfDvYn82v7,0.189,278920,0.724,4l86U8arITFVBfDvYn82v7,0.00387,7,0.0687,-5.88,0,0.0582,210.108,3,https://api.spotify.com/v1/tracks/4l86U8arITFVBfDvYn82v7,audio_features,spotify:track:4l86U8arITFVBfDvYn82v7,0.39,Father John Misty,"I Love You, Honeybear",4l86U8arITFVBfDvYn82v7,48,0
43,0.0166,https://api.spotify.com/v1/audio-analysis/5wN0Qf0iHLcWbCugUtQLNp,0.753,291019,0.46,5wN0Qf0iHLcWbCugUtQLNp,0.787,10,0.0918,-12.285,0,0.0687,139.447,4,https://api.spotify.com/v1/tracks/5wN0Qf0iHLcWbCugUtQLNp,audio_features,spotify:track:5wN0Qf0iHLcWbCugUtQLNp,0.38,Jamie xx,Gosh,5wN0Qf0iHLcWbCugUtQLNp,55,0
44,0.00462,https://api.spotify.com/v1/audio-analysis/0Sl8C9oeS3b5Kv9bSvTPDr,0.646,283067,0.631,0Sl8C9oeS3b5Kv9bSvTPDr,0.288,8,0.122,-10.748,0,0.0436,109.02,4,https://api.spotify.com/v1/tracks/0Sl8C9oeS3b5Kv9bSvTPDr,audio_features,spotify:track:0Sl8C9oeS3b5Kv9bSvTPDr,0.167,Jamie xx,Loud Places,0Sl8C9oeS3b5Kv9bSvTPDr,62,0
45,0.287,https://api.spotify.com/v1/audio-analysis/5mbYOavUzMPBgZIhybZsfT,0.496,243200,0.639,5mbYOavUzMPBgZIhybZsfT,0.856,4,0.252,-9.453,1,0.0455,111.451,4,https://api.spotify.com/v1/tracks/5mbYOavUzMPBgZIhybZsfT,audio_features,spotify:track:5mbYOavUzMPBgZIhybZsfT,0.518,Karl Blau,That's How I Got To Memphis,5mbYOavUzMPBgZIhybZsfT,28,0
46,0.16,https://api.spotify.com/v1/audio-analysis/2hVIFBK16r5iPZBG6n0hCO,0.764,274692,0.685,2hVIFBK16r5iPZBG6n0hCO,0.0338,1,0.111,-6.726,1,0.27,98.773,4,https://api.spotify.com/v1/tracks/2hVIFBK16r5iPZBG6n0hCO,audio_features,spotify:track:2hVIFBK16r5iPZBG6n0hCO,0.6,Kate Tempest,Europe Is Lost,2hVIFBK16r5iPZBG6n0hCO,0,0
